Date,Carteira (líquido)
2015-01-05,-0.03300593189791252
2015-01-06,0.009379098264451127
2015-01-07,0.017387361380625358
2015-01-08,-0.007196399111186039
2015-01-09,-0.012451009567183648
2015-01-12,-0.01948271539934826
2015-01-13,0.012724185418278088
2015-01-14,-0.00478157427804743
2015-01-15,0.007286520938962246
2015-01-16,0.007118309921454388
2015-01-19,-0.021247839676025004
2015-01-20,0.0008192580613109202
2015-01-21,0.013384504635569226
2015-01-22,0.01082794637869679
2015-01-23,-0.0061662123061345985
2015-01-26,-0.00567044390849216
2015-01-27,-0.007134427828031982
2015-01-28,-0.01789066584335072
2015-01-29,0.007135096777739138
2015-01-30,-0.00942761299094384
2015-02-02,0.01484916090120539
2015-02-03,0.008371007112906398
2015-02-04,-0.0031521030380952547
2015-02-05,0.002151604119668939
2015-02-06,-0.025156392386265394
2015-02-09,0.011754451374868923
2015-02-10,-0.009524674147325269
2015-02-11,-0.004483175213335665
2015-02-12,-0.002185036264789134
2015-02-13,0.01912508024885977
2015-02-18,0.013833486694061795
2015-02-19,-0.0013546714875865326
2015-02-20,0.008963450824754969
2015-02-23,-0.00410197890914629
2015-02-24,-0.003512145126193412
2015-02-25,0.006414867271419691
2015-02-26,0.023507241971820025
2015-02-27,0.0019856829568638107
2015-03-02,-0.0008808333702369413
2015-03-03,0.0060820156890979095
2015-03-04,0.009252956164022767
2015-03-05,-0.0014512049957235932
2015-03-06,-0.013070687208154045
2015-03-09,-0.016364933707569636
2015-03-10,-0.012062076114291746
2015-03-11,0.009294929166691345
2015-03-12,0.012049996182274368
2015-03-13,-0.01036598864630506
2015-03-16,-0.012661822011691571
2015-03-17,0.018970308990272303
2015-03-18,0.007015008670814497
2015-03-19,0.00076978786175026
2015-03-20,0.01775934020723522
2015-03-23,-0.0019173797542575493
2015-03-24,-0.0035553671911522805
2015-03-25,0.016146646995331457
2015-03-26,-0.02473055688149593
2015-03-27,-0.026483228796823948
2015-03-30,0.018861123293625836
2015-03-31,0.014233303644112637
2015-04-01,0.017701586015510286
2015-04-02,0.003103685287376151
2015-04-06,0.010270403214892419
2015-04-07,-0.009426725599171121
2015-04-08,0.0032592966661661935
2015-04-09,0.0016842156150785686
2015-04-10,0.006771242154978145
2015-04-13,0.012654533993735412
2015-04-14,0.0026980193131358765
2015-04-15,0.026183421482251803
2015-04-16,-0.015654246026004497
2015-04-17,-0.006735434563755577
2015-04-20,-0.0014326517957820963
2015-04-22,0.013477547028003996
2015-04-23,-0.000827085828085125
2015-04-24,0.0036279213627454718
2015-04-27,-0.010993465462749036
2015-04-28,0.009577395932874166
2015-04-29,-0.005360656473673731
2015-04-30,0.01355363070806705
2015-05-04,-0.002542939650941379
2015-05-05,0.008011423092253018
2015-05-06,-0.022979067632144815
2015-05-07,-0.018396820420841585
2015-05-08,0.02145834810029318
2015-05-11,0.001433518349797256
2015-05-12,0.003752524329041106
2015-05-13,0.003779068937012044
2015-05-14,0.01080863891735159
2015-05-15,0.0028914789035529077
2015-05-18,-0.013277646269126243
2015-05-19,-0.012056639559744028
2015-05-20,0.010275371630477554
2015-05-21,0.008739568401091819
2015-05-22,-0.01585766639519767
2015-05-25,-0.0055634896237456875
2015-05-26,-0.023385981920723036
2015-05-27,0.008496977354777124
2015-05-28,-0.004208563613979731
2015-05-29,-0.019138084066318988
2015-06-01,0.009889701630177036
2015-06-02,0.011622310396359753
2015-06-03,-0.009652071646531894
2015-06-05,-0.004391493081516338
2015-06-08,-0.007368439100363982
2015-06-09,-9.737703860665303e-05
2015-06-10,-0.0006851681903195525
2015-06-11,-0.0025873195781348076
2015-06-12,-0.007428952824753921
2015-06-15,-0.00035646781566332395
2015-06-16,-0.003630291100134224
2015-06-17,-0.011015475443049861
2015-06-18,-0.000677913164045413
2015-06-19,-0.003942739015929226
2015-06-22,0.0005650452612507657
2015-06-23,0.0006687901079077492
2015-06-24,-0.01180577073386611
2015-06-25,-0.0017176210081224568
2015-06-26,-0.0023570217640103827
2015-06-29,-0.011056159489239986
2015-06-30,0.005606299354248444
2015-07-01,-0.008384403132768973
2015-07-02,-0.007699521002826308
2015-07-03,-0.007649064819917556
2015-07-06,0.00010713831384359884
2015-07-07,-0.0043041792515841875
2015-07-08,0.005363878807118113
2015-07-10,-0.00245818108826387
2015-07-13,-0.002196233580622185
2015-07-14,-0.004655936071294363
2015-07-15,-0.0031934902553007096
2015-07-16,0.01177670315290082
2015-07-17,-0.022813565655627848
2015-07-20,-0.0016166025223206977
2015-07-21,-0.009864834982368856
2015-07-22,-0.007764510328378803
2015-07-23,-0.026341602987463693
2015-07-24,-0.008206048323363403
2015-07-27,-0.011778589287235292
2015-07-28,0.009401116121652082
2015-07-29,0.00614121773281439
2015-07-30,-0.004520481228138216
2015-07-31,0.02493125505432623
2015-08-03,-0.009180600021536775
2015-08-04,0.01137740752463024
2015-08-05,0.0018104882914413629
2015-08-06,-0.024237384335430528
2015-08-07,-0.01647784805009581
2015-08-10,0.014311322168695653
2015-08-11,-0.004395462822133034
2015-08-12,-0.015427965801074967
2015-08-13,-0.005938891059279763
2015-08-14,0.002272811535579868
2015-08-17,0.0003201729947879068
2015-08-18,-0.015967095177146718
2015-08-19,-0.018532286581592457
2015-08-20,-0.0062560987047783605
2015-08-21,-0.00933885637701191
2015-08-24,-0.01831735325658412
2015-08-25,-0.0040799181056277705
2015-08-26,0.02558074217876372
2015-08-27,0.03374901722889333
2015-08-28,0.003906630803821937
2015-08-31,-0.02660267827795158
2015-09-01,-0.014783759163431782
2015-09-02,0.026027424884559155
2015-09-03,0.017270272593644238
2015-09-04,0.008357701788189514
2015-09-08,-0.005595687333825632
2015-09-09,-0.0037798326884940048
2015-09-10,0.0064100003082341
2015-09-11,0.004743906098777425
2015-09-14,0.02059513379164666
2015-09-15,-0.006476460345428723
2015-09-16,0.024686987056083586
2015-09-17,0.006462391107313027
2015-09-18,-0.025103468221405578
2015-09-21,-0.009066397129435473
2015-09-22,-0.021893930718271646
2015-09-23,-0.01478394201369628
2015-09-24,0.0026199467248913403
2015-09-25,-0.000743761394533959
2015-09-28,-0.02024891188545669
2015-09-29,-0.004312817262399918
2015-09-30,0.011470349419997144
2015-10-01,0.013534751167362066
2015-10-02,0.02337932869781342
2015-10-05,0.021563208632117834
2015-10-06,0.023938427406095374
2015-10-07,0.027442386132074694
2015-10-08,-0.007060587462980631
2015-10-09,-0.002904219783045849
2015-10-13,-0.016029397599572604
2015-10-14,-0.019154345818933907
2015-10-15,0.006640202488347679
2015-10-16,0.012064309503764734
2015-10-19,0.002562221393574321
2015-10-20,-0.0015896173421031245
2015-10-21,-0.0018952812728179498
2015-10-22,-0.0031541412471959612
2015-10-23,-0.0034346806564302737
2015-10-26,4.4752989655590945e-05
2015-10-27,-0.003922834031947826
2015-10-28,0.0004984733858440835
2015-10-29,-0.024487207577662325
2015-10-30,0.005111443045872612
2015-11-03,0.02993746782014969
2015-11-04,-0.00042695575748829563
2015-11-05,0.0009255018068110506
2015-11-06,-0.01205938592869114
2015-11-09,-0.014892815341752482
2015-11-10,-0.004509811968945209
2015-11-11,0.01957896643827119
2015-11-12,-0.006682443527819469
2015-11-13,0.006848726160342371
2015-11-16,-0.012176291320153071
2015-11-17,-0.001253795101400206
2015-11-18,-0.006619840095097499
2015-11-19,0.0027236371661565886
2015-11-23,-0.009071447502177003
2015-11-24,0.0013593066198051922
2015-11-25,-0.005489235194972373
2015-11-26,0.0038687249086833153
2015-11-27,-0.013356508247306382
2015-11-30,-0.022437797558492248
2015-12-01,-0.0053795440649776925
2015-12-02,0.01345147244895256
2015-12-03,0.020415510041798465
2015-12-04,-0.02237058479361733
2015-12-07,-0.010293372227787066
2015-12-08,-0.013595755672445217
2015-12-09,0.010338162442235701
2015-12-10,-0.0028711134107409844
2015-12-11,-0.00770010832627649
2015-12-14,-0.009932262419164607
2015-12-15,-0.0028418992229368666
2015-12-16,-0.003635868683739176
2015-12-17,0.005238370653877313
2015-12-18,-0.01577406220562316
2015-12-21,0.004590939076908112
2015-12-22,0.0033674524447745735
2015-12-23,0.018202207939098217
2015-12-28,0.00965665245166624
2015-12-29,0.00010777464510647848
2015-12-30,0.007457879394485863
2016-01-04,-0.03883070288208225
2016-01-05,0.005637076237144852
2016-01-06,-0.01770253490234832
2016-01-07,-0.025856320279632455
2016-01-08,-0.00044956634140769924
2016-01-11,-0.005133955046401062
2016-01-12,-0.01129283580921341
2016-01-13,-0.017142589728305582
2016-01-14,-0.001402487758222105
